abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified
COLCAMCO,12/01/2012 00:00,1250,cfs,,,09/25/2018 15:20
COLCAMCO,12/02/2012 00:00,1310,cfs,,,09/25/2018 15:20
COLCAMCO,12/03/2012 00:00,1280,cfs,,,09/25/2018 15:20
COLCAMCO,12/04/2012 00:00,1260,cfs,,,09/25/2018 15:20
COLCAMCO,12/05/2012 00:00,1200,cfs,,,09/25/2018 15:20
COLCAMCO,12/06/2012 00:00,1190,cfs,,,09/25/2018 15:20
COLCAMCO,12/07/2012 00:00,1170,cfs,,,09/25/2018 15:20
COLCAMCO,12/08/2012 00:00,1220,cfs,,,09/25/2018 15:20
COLCAMCO,12/09/2012 00:00,1180,cfs,,,09/25/2018 15:20
COLCAMCO,12/10/2012 00:00,1160,cfs,,,09/25/2018 15:20
COLCAMCO,12/11/2012 00:00,921,cfs,,,09/25/2018 15:20
COLCAMCO,12/12/2012 00:00,1000,cfs,,,09/25/2018 15:20
COLCAMCO,12/13/2012 00:00,1110,cfs,,,09/25/2018 15:20
COLCAMCO,12/14/2012 00:00,1170,cfs,,,09/25/2018 15:20
COLCAMCO,12/15/2012 00:00,1220,cfs,,,09/25/2018 15:20
COLCAMCO,12/16/2012 00:00,1290,cfs,,,09/25/2018 15:20
COLCAMCO,12/17/2012 00:00,1270,cfs,,,09/25/2018 15:20
COLCAMCO,12/18/2012 00:00,1210,cfs,,,09/25/2018 15:20
COLCAMCO,12/19/2012 00:00,1300,cfs,,,09/25/2018 15:20
COLCAMCO,12/20/2012 00:00,1220,cfs,,,09/25/2018 15:20
COLCAMCO,12/21/2012 00:00,,cfs,,,
COLCAMCO,12/22/2012 00:00,,cfs,,,
COLCAMCO,12/23/2012 00:00,,cfs,,,
COLCAMCO,12/24/2012 00:00,,cfs,,,
COLCAMCO,12/25/2012 00:00,,cfs,,,
COLCAMCO,12/26/2012 00:00,,cfs,,,
COLCAMCO,12/27/2012 00:00,,cfs,,,
COLCAMCO,12/28/2012 00:00,,cfs,,,
COLCAMCO,12/29/2012 00:00,,cfs,,,
COLCAMCO,12/30/2012 00:00,,cfs,,,
COLCAMCO,12/31/2012 00:00,,cfs,,,
COLCAMCO,01/01/2013 00:00,,cfs,,,
COLCAMCO,01/02/2013 00:00,,cfs,,,
COLCAMCO,01/03/2013 00:00,,cfs,,,
COLCAMCO,01/04/2013 00:00,,cfs,,,
COLCAMCO,01/05/2013 00:00,,cfs,,,
COLCAMCO,01/06/2013 00:00,,cfs,,,
COLCAMCO,01/07/2013 00:00,,cfs,,,
COLCAMCO,01/08/2013 00:00,,cfs,,,
COLCAMCO,01/09/2013 00:00,,cfs,,,
COLCAMCO,01/10/2013 00:00,,cfs,,,
COLCAMCO,01/11/2013 00:00,,cfs,,,
COLCAMCO,01/12/2013 00:00,,cfs,,,
COLCAMCO,01/13/2013 00:00,,cfs,,,
COLCAMCO,01/14/2013 00:00,,cfs,,,
COLCAMCO,01/15/2013 00:00,,cfs,,,
COLCAMCO,01/16/2013 00:00,,cfs,,,
COLCAMCO,01/17/2013 00:00,,cfs,,,
COLCAMCO,01/18/2013 00:00,,cfs,,,
COLCAMCO,01/19/2013 00:00,,cfs,,,
COLCAMCO,01/20/2013 00:00,,cfs,,,
COLCAMCO,01/21/2013 00:00,,cfs,,,
COLCAMCO,01/22/2013 00:00,,cfs,,,
COLCAMCO,01/23/2013 00:00,,cfs,,,
COLCAMCO,01/24/2013 00:00,,cfs,,,
COLCAMCO,01/25/2013 00:00,,cfs,,,
COLCAMCO,01/26/2013 00:00,,cfs,,,
COLCAMCO,01/27/2013 00:00,,cfs,,,
COLCAMCO,01/28/2013 00:00,,cfs,,,
COLCAMCO,01/29/2013 00:00,,cfs,,,
COLCAMCO,01/30/2013 00:00,,cfs,,,
COLCAMCO,01/31/2013 00:00,,cfs,,,
COLCAMCO,02/01/2013 00:00,,cfs,,,
COLCAMCO,02/02/2013 00:00,,cfs,,,
COLCAMCO,02/03/2013 00:00,,cfs,,,
COLCAMCO,02/04/2013 00:00,,cfs,,,
COLCAMCO,02/05/2013 00:00,,cfs,,,
COLCAMCO,02/06/2013 00:00,,cfs,,,
COLCAMCO,02/07/2013 00:00,,cfs,,,
COLCAMCO,02/08/2013 00:00,,cfs,,,
COLCAMCO,02/09/2013 00:00,,cfs,,,
COLCAMCO,02/10/2013 00:00,,cfs,,,
COLCAMCO,02/11/2013 00:00,,cfs,,,
COLCAMCO,02/12/2013 00:00,,cfs,,,
COLCAMCO,02/13/2013 00:00,,cfs,,,
COLCAMCO,02/14/2013 00:00,,cfs,,,
COLCAMCO,02/15/2013 00:00,,cfs,,,
COLCAMCO,02/16/2013 00:00,,cfs,,,
COLCAMCO,02/17/2013 00:00,,cfs,,,
COLCAMCO,02/18/2013 00:00,,cfs,,,
COLCAMCO,02/19/2013 00:00,,cfs,,,
COLCAMCO,02/20/2013 00:00,,cfs,,,
COLCAMCO,02/21/2013 00:00,1120,cfs,,,09/25/2018 15:20
COLCAMCO,02/22/2013 00:00,1140,cfs,,,09/25/2018 15:20
COLCAMCO,02/23/2013 00:00,1110,cfs,,,09/25/2018 15:20
COLCAMCO,02/24/2013 00:00,1070,cfs,,,09/25/2018 15:20
COLCAMCO,02/25/2013 00:00,1160,cfs,,,09/25/2018 15:20
COLCAMCO,02/26/2013 00:00,1090,cfs,,,09/25/2018 15:20
COLCAMCO,02/27/2013 00:00,1130,cfs,,,09/25/2018 15:20
COLCAMCO,02/28/2013 00:00,1090,cfs,,,09/25/2018 15:20
COLCAMCO,03/01/2013 00:00,1050,cfs,,,09/25/2018 15:20
COLCAMCO,03/02/2013 00:00,1180,cfs,,,09/25/2018 15:20
COLCAMCO,03/03/2013 00:00,1140,cfs,,,09/25/2018 15:20
COLCAMCO,03/04/2013 00:00,1210,cfs,,,09/25/2018 15:20
COLCAMCO,03/05/2013 00:00,1260,cfs,,,09/25/2018 15:20
COLCAMCO,03/06/2013 00:00,1130,cfs,,,09/25/2018 15:20
COLCAMCO,03/07/2013 00:00,1200,cfs,,,09/25/2018 15:20
COLCAMCO,03/08/2013 00:00,1270,cfs,,,09/25/2018 15:20
COLCAMCO,03/09/2013 00:00,1330,cfs,,,09/25/2018 15:20
COLCAMCO,03/10/2013 00:00,1320,cfs,,,09/25/2018 15:20
COLCAMCO,03/11/2013 00:00,1230,cfs,,,09/25/2018 15:20
COLCAMCO,03/12/2013 00:00,1210,cfs,,,09/25/2018 15:20
COLCAMCO,03/13/2013 00:00,1240,cfs,,,09/25/2018 15:20
COLCAMCO,03/14/2013 00:00,1270,cfs,,,09/25/2018 15:20
COLCAMCO,03/15/2013 00:00,1340,cfs,,,09/25/2018 15:20
COLCAMCO,03/16/2013 00:00,1400,cfs,,,09/25/2018 15:20
COLCAMCO,03/17/2013 00:00,1470,cfs,,,09/25/2018 15:20
COLCAMCO,03/18/2013 00:00,1440,cfs,,,09/25/2018 15:20
COLCAMCO,03/19/2013 00:00,1360,cfs,,,09/25/2018 15:20
COLCAMCO,03/20/2013 00:00,1310,cfs,,,09/25/2018 15:20
COLCAMCO,03/21/2013 00:00,1310,cfs,,,09/25/2018 15:20
COLCAMCO,03/22/2013 00:00,1390,cfs,,,09/25/2018 15:20
COLCAMCO,03/23/2013 00:00,1330,cfs,,,09/25/2018 15:20
COLCAMCO,03/24/2013 00:00,1280,cfs,,,09/25/2018 15:20
COLCAMCO,03/25/2013 00:00,1200,cfs,,,09/25/2018 15:20
COLCAMCO,03/26/2013 00:00,1180,cfs,,,09/25/2018 15:20
COLCAMCO,03/27/2013 00:00,1270,cfs,,,09/25/2018 15:20
COLCAMCO,03/28/2013 00:00,1330,cfs,,,09/25/2018 15:20
COLCAMCO,03/29/2013 00:00,1320,cfs,,,09/25/2018 15:20
COLCAMCO,03/30/2013 00:00,1370,cfs,,,09/25/2018 15:20
COLCAMCO,03/31/2013 00:00,1490,cfs,,,09/25/2018 15:20
COLCAMCO,04/01/2013 00:00,1530,cfs,,,09/25/2018 15:20
COLCAMCO,04/02/2013 00:00,1490,cfs,,,09/25/2018 15:20
COLCAMCO,04/03/2013 00:00,1570,cfs,,,09/25/2018 15:20
COLCAMCO,04/04/2013 00:00,1610,cfs,,,09/25/2018 15:20
COLCAMCO,04/05/2013 00:00,1560,cfs,,,09/25/2018 15:20
COLCAMCO,04/06/2013 00:00,1610,cfs,,,09/25/2018 15:20
COLCAMCO,04/07/2013 00:00,1680,cfs,,,09/25/2018 15:20
COLCAMCO,04/08/2013 00:00,1740,cfs,,,09/25/2018 15:20
COLCAMCO,04/09/2013 00:00,1550,cfs,,,09/25/2018 15:20
COLCAMCO,04/10/2013 00:00,1470,cfs,,,09/25/2018 15:20
COLCAMCO,04/11/2013 00:00,1320,cfs,,,09/25/2018 15:20
COLCAMCO,04/12/2013 00:00,1220,cfs,,,09/25/2018 15:20
COLCAMCO,04/13/2013 00:00,1210,cfs,,,09/25/2018 15:20
COLCAMCO,04/14/2013 00:00,1210,cfs,,,09/25/2018 15:20
COLCAMCO,04/15/2013 00:00,1330,cfs,,,09/25/2018 15:20
COLCAMCO,04/16/2013 00:00,1580,cfs,,,09/25/2018 15:20
COLCAMCO,04/17/2013 00:00,1710,cfs,,,09/25/2018 15:20
COLCAMCO,04/18/2013 00:00,1620,cfs,,,09/25/2018 15:20
COLCAMCO,04/19/2013 00:00,1380,cfs,,,09/25/2018 15:20
COLCAMCO,04/20/2013 00:00,1280,cfs,,,09/25/2018 15:20
COLCAMCO,04/21/2013 00:00,1300,cfs,,,09/25/2018 15:20
COLCAMCO,04/22/2013 00:00,1280,cfs,,,09/25/2018 15:20
COLCAMCO,04/23/2013 00:00,1250,cfs,,,09/25/2018 15:20
COLCAMCO,04/24/2013 00:00,1390,cfs,,,09/25/2018 15:20
COLCAMCO,04/25/2013 00:00,1400,cfs,,,09/25/2018 15:20
COLCAMCO,04/26/2013 00:00,1330,cfs,,,09/25/2018 15:20
COLCAMCO,04/27/2013 00:00,1310,cfs,,,09/25/2018 15:20
COLCAMCO,04/28/2013 00:00,1460,cfs,,,09/25/2018 15:20
COLCAMCO,04/29/2013 00:00,1840,cfs,,,09/25/2018 15:20
COLCAMCO,04/30/2013 00:00,2350,cfs,,,09/25/2018 15:20
COLCAMCO,05/01/2013 00:00,2980,cfs,,,09/25/2018 15:20
COLCAMCO,05/02/2013 00:00,3110,cfs,,,09/25/2018 15:20
COLCAMCO,05/03/2013 00:00,2640,cfs,,,09/25/2018 15:20
COLCAMCO,05/04/2013 00:00,2260,cfs,,,09/25/2018 15:20
COLCAMCO,05/05/2013 00:00,2210,cfs,,,09/25/2018 15:20
COLCAMCO,05/06/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,05/07/2013 00:00,2560,cfs,,,09/25/2018 15:20
COLCAMCO,05/08/2013 00:00,2800,cfs,,,09/25/2018 15:20
COLCAMCO,05/09/2013 00:00,3050,cfs,,,09/25/2018 15:20
COLCAMCO,05/10/2013 00:00,2980,cfs,,,09/25/2018 15:20
COLCAMCO,05/11/2013 00:00,2860,cfs,,,09/25/2018 15:20
COLCAMCO,05/12/2013 00:00,2990,cfs,,,09/25/2018 15:20
COLCAMCO,05/13/2013 00:00,3460,cfs,,,09/25/2018 15:20
COLCAMCO,05/14/2013 00:00,4450,cfs,,,09/25/2018 15:20
COLCAMCO,05/15/2013 00:00,5790,cfs,,,09/25/2018 15:20
COLCAMCO,05/16/2013 00:00,6980,cfs,,,09/25/2018 15:20
COLCAMCO,05/17/2013 00:00,8110,cfs,,,09/25/2018 15:20
COLCAMCO,05/18/2013 00:00,9080,cfs,,,09/25/2018 15:20
COLCAMCO,05/19/2013 00:00,8920,cfs,,,09/25/2018 15:20
COLCAMCO,05/20/2013 00:00,7710,cfs,,,09/25/2018 15:20
COLCAMCO,05/21/2013 00:00,6570,cfs,,,09/25/2018 15:20
COLCAMCO,05/22/2013 00:00,5730,cfs,,,09/25/2018 15:20
COLCAMCO,05/23/2013 00:00,5430,cfs,,,09/25/2018 15:20
COLCAMCO,05/24/2013 00:00,6340,cfs,,,09/25/2018 15:20
COLCAMCO,05/25/2013 00:00,7680,cfs,,,09/25/2018 15:20
COLCAMCO,05/26/2013 00:00,8450,cfs,,,09/25/2018 15:20
COLCAMCO,05/27/2013 00:00,8940,cfs,,,09/25/2018 15:20
COLCAMCO,05/28/2013 00:00,9120,cfs,,,09/25/2018 15:20
COLCAMCO,05/29/2013 00:00,8440,cfs,,,09/25/2018 15:20
COLCAMCO,05/30/2013 00:00,7260,cfs,,,09/25/2018 15:20
COLCAMCO,05/31/2013 00:00,6090,cfs,,,09/25/2018 15:20
COLCAMCO,06/01/2013 00:00,5150,cfs,,,09/25/2018 15:20
COLCAMCO,06/02/2013 00:00,4730,cfs,,,09/25/2018 15:20
COLCAMCO,06/03/2013 00:00,5330,cfs,,,09/25/2018 15:20
COLCAMCO,06/04/2013 00:00,6440,cfs,,,09/25/2018 15:20
COLCAMCO,06/05/2013 00:00,7250,cfs,,,09/25/2018 15:20
COLCAMCO,06/06/2013 00:00,8230,cfs,,,09/25/2018 15:20
COLCAMCO,06/07/2013 00:00,8840,cfs,,,09/25/2018 15:20
COLCAMCO,06/08/2013 00:00,8390,cfs,,,09/25/2018 15:20
COLCAMCO,06/09/2013 00:00,8680,cfs,,,09/25/2018 15:20
COLCAMCO,06/10/2013 00:00,9270,cfs,,,09/25/2018 15:20
COLCAMCO,06/11/2013 00:00,9780,cfs,,,09/25/2018 15:20
COLCAMCO,06/12/2013 00:00,9360,cfs,,,09/25/2018 15:20
COLCAMCO,06/13/2013 00:00,8670,cfs,,,09/25/2018 15:20
COLCAMCO,06/14/2013 00:00,8000,cfs,,,09/25/2018 15:20
COLCAMCO,06/15/2013 00:00,7610,cfs,,,09/25/2018 15:20
COLCAMCO,06/16/2013 00:00,6910,cfs,,,09/25/2018 15:20
COLCAMCO,06/17/2013 00:00,6140,cfs,,,09/25/2018 15:20
COLCAMCO,06/18/2013 00:00,5640,cfs,,,09/25/2018 15:20
COLCAMCO,06/19/2013 00:00,5360,cfs,,,09/25/2018 15:20
COLCAMCO,06/20/2013 00:00,5160,cfs,,,09/25/2018 15:20
COLCAMCO,06/21/2013 00:00,4860,cfs,,,09/25/2018 15:20
COLCAMCO,06/22/2013 00:00,4540,cfs,,,09/25/2018 15:20
COLCAMCO,06/23/2013 00:00,4380,cfs,,,09/25/2018 15:20
COLCAMCO,06/24/2013 00:00,4000,cfs,,,09/25/2018 15:20
COLCAMCO,06/25/2013 00:00,3620,cfs,,,09/25/2018 15:20
COLCAMCO,06/26/2013 00:00,3500,cfs,,,09/25/2018 15:20
COLCAMCO,06/27/2013 00:00,3490,cfs,,,09/25/2018 15:20
COLCAMCO,06/28/2013 00:00,3470,cfs,,,09/25/2018 15:20
COLCAMCO,06/29/2013 00:00,3360,cfs,,,09/25/2018 15:20
COLCAMCO,06/30/2013 00:00,3170,cfs,,,09/25/2018 15:20
COLCAMCO,07/01/2013 00:00,3020,cfs,,,09/25/2018 15:20
COLCAMCO,07/02/2013 00:00,2850,cfs,,,09/25/2018 15:20
COLCAMCO,07/03/2013 00:00,2670,cfs,,,09/25/2018 15:20
COLCAMCO,07/04/2013 00:00,2560,cfs,,,09/25/2018 15:20
COLCAMCO,07/05/2013 00:00,2510,cfs,,,09/25/2018 15:20
COLCAMCO,07/06/2013 00:00,2460,cfs,,,09/25/2018 15:20
COLCAMCO,07/07/2013 00:00,2490,cfs,,,09/25/2018 15:20
COLCAMCO,07/08/2013 00:00,2540,cfs,,,09/25/2018 15:20
COLCAMCO,07/09/2013 00:00,2420,cfs,,,09/25/2018 15:20
COLCAMCO,07/10/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,07/11/2013 00:00,2130,cfs,,,09/25/2018 15:20
COLCAMCO,07/12/2013 00:00,2110,cfs,,,09/25/2018 15:20
COLCAMCO,07/13/2013 00:00,2170,cfs,,,09/25/2018 15:20
COLCAMCO,07/14/2013 00:00,2220,cfs,,,09/25/2018 15:20
COLCAMCO,07/15/2013 00:00,2360,cfs,,,09/25/2018 15:20
COLCAMCO,07/16/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,07/17/2013 00:00,2100,cfs,,,09/25/2018 15:20
COLCAMCO,07/18/2013 00:00,2260,cfs,,,09/25/2018 15:20
COLCAMCO,07/19/2013 00:00,2320,cfs,,,09/25/2018 15:20
COLCAMCO,07/20/2013 00:00,2460,cfs,,,09/25/2018 15:20
COLCAMCO,07/21/2013 00:00,2080,cfs,,,09/25/2018 15:20
COLCAMCO,07/22/2013 00:00,1850,cfs,,,09/25/2018 15:20
COLCAMCO,07/23/2013 00:00,1700,cfs,,,09/25/2018 15:20
COLCAMCO,07/24/2013 00:00,1600,cfs,,,09/25/2018 15:20
COLCAMCO,07/25/2013 00:00,1620,cfs,,,09/25/2018 15:20
COLCAMCO,07/26/2013 00:00,1820,cfs,,,09/25/2018 15:20
COLCAMCO,07/27/2013 00:00,2130,cfs,,,09/25/2018 15:20
COLCAMCO,07/28/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,07/29/2013 00:00,2820,cfs,,,09/25/2018 15:20
COLCAMCO,07/30/2013 00:00,3000,cfs,,,09/25/2018 15:20
COLCAMCO,07/31/2013 00:00,2650,cfs,,,09/25/2018 15:20
COLCAMCO,08/01/2013 00:00,2430,cfs,,,09/25/2018 15:20
COLCAMCO,08/02/2013 00:00,2320,cfs,,,09/25/2018 15:20
COLCAMCO,08/03/2013 00:00,2310,cfs,,,09/25/2018 15:20
COLCAMCO,08/04/2013 00:00,2180,cfs,,,09/25/2018 15:20
COLCAMCO,08/05/2013 00:00,2110,cfs,,,09/25/2018 15:20
COLCAMCO,08/06/2013 00:00,2130,cfs,,,09/25/2018 15:20
COLCAMCO,08/07/2013 00:00,2240,cfs,,,09/25/2018 15:20
COLCAMCO,08/08/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,08/09/2013 00:00,2120,cfs,,,09/25/2018 15:20
COLCAMCO,08/10/2013 00:00,2050,cfs,,,09/25/2018 15:20
COLCAMCO,08/11/2013 00:00,2070,cfs,,,09/25/2018 15:20
COLCAMCO,08/12/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,08/13/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,08/14/2013 00:00,2290,cfs,,,09/25/2018 15:20
COLCAMCO,08/15/2013 00:00,2270,cfs,,,09/25/2018 15:20
COLCAMCO,08/16/2013 00:00,2140,cfs,,,09/25/2018 15:20
COLCAMCO,08/17/2013 00:00,2060,cfs,,,09/25/2018 15:20
COLCAMCO,08/18/2013 00:00,1950,cfs,,,09/25/2018 15:20
COLCAMCO,08/19/2013 00:00,1940,cfs,,,09/25/2018 15:20
COLCAMCO,08/20/2013 00:00,1980,cfs,,,09/25/2018 15:20
COLCAMCO,08/21/2013 00:00,2040,cfs,,,09/25/2018 15:20
COLCAMCO,08/22/2013 00:00,2060,cfs,,,09/25/2018 15:20
COLCAMCO,08/23/2013 00:00,2350,cfs,,,09/25/2018 15:20
COLCAMCO,08/24/2013 00:00,2170,cfs,,,09/25/2018 15:20
COLCAMCO,08/25/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,08/26/2013 00:00,2230,cfs,,,09/25/2018 15:20
COLCAMCO,08/27/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,08/28/2013 00:00,2120,cfs,,,09/25/2018 15:20
COLCAMCO,08/29/2013 00:00,2140,cfs,,,09/25/2018 15:20
COLCAMCO,08/30/2013 00:00,2170,cfs,,,09/25/2018 15:20
COLCAMCO,08/31/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,09/01/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,09/02/2013 00:00,2400,cfs,,,09/25/2018 15:20
COLCAMCO,09/03/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,09/04/2013 00:00,2200,cfs,,,09/25/2018 15:20
COLCAMCO,09/05/2013 00:00,2090,cfs,,,09/25/2018 15:20
COLCAMCO,09/06/2013 00:00,2070,cfs,,,09/25/2018 15:20
COLCAMCO,09/07/2013 00:00,2160,cfs,,,09/25/2018 15:20
COLCAMCO,09/08/2013 00:00,2210,cfs,,,09/25/2018 15:20
COLCAMCO,09/09/2013 00:00,2430,cfs,,,09/25/2018 15:20
COLCAMCO,09/10/2013 00:00,2490,cfs,,,09/25/2018 15:20
COLCAMCO,09/11/2013 00:00,2540,cfs,,,09/25/2018 15:20
COLCAMCO,09/12/2013 00:00,2490,cfs,,,09/25/2018 15:20
COLCAMCO,09/13/2013 00:00,2550,cfs,,,09/25/2018 15:20
COLCAMCO,09/14/2013 00:00,3020,cfs,,,09/25/2018 15:20
COLCAMCO,09/15/2013 00:00,2940,cfs,,,09/25/2018 15:20
COLCAMCO,09/16/2013 00:00,2560,cfs,,,09/25/2018 15:20
COLCAMCO,09/17/2013 00:00,2290,cfs,,,09/25/2018 15:20
COLCAMCO,09/18/2013 00:00,2240,cfs,,,09/25/2018 15:20
COLCAMCO,09/19/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,09/20/2013 00:00,2510,cfs,,,09/25/2018 15:20
COLCAMCO,09/21/2013 00:00,2470,cfs,,,09/25/2018 15:20
COLCAMCO,09/22/2013 00:00,2700,cfs,,,09/25/2018 15:20
COLCAMCO,09/23/2013 00:00,2820,cfs,,,09/25/2018 15:20
COLCAMCO,09/24/2013 00:00,3020,cfs,,,09/25/2018 15:20
COLCAMCO,09/25/2013 00:00,2830,cfs,,,09/25/2018 15:20
COLCAMCO,09/26/2013 00:00,2650,cfs,,,09/25/2018 15:20
COLCAMCO,09/27/2013 00:00,2580,cfs,,,09/25/2018 15:20
COLCAMCO,09/28/2013 00:00,2560,cfs,,,09/25/2018 15:20
COLCAMCO,09/29/2013 00:00,2470,cfs,,,09/25/2018 15:20
COLCAMCO,09/30/2013 00:00,2480,cfs,,,09/25/2018 15:20
COLCAMCO,10/01/2013 00:00,2410,cfs,,,09/25/2018 15:20
COLCAMCO,10/02/2013 00:00,2320,cfs,,,09/25/2018 15:20
COLCAMCO,10/03/2013 00:00,2190,cfs,,,09/25/2018 15:20
COLCAMCO,10/04/2013 00:00,2230,cfs,,,09/25/2018 15:20
COLCAMCO,10/05/2013 00:00,2390,cfs,,,09/25/2018 15:20
COLCAMCO,10/06/2013 00:00,2410,cfs,,,09/25/2018 15:20
COLCAMCO,10/07/2013 00:00,2420,cfs,,,09/25/2018 15:20
COLCAMCO,10/08/2013 00:00,2390,cfs,,,09/25/2018 15:20
COLCAMCO,10/09/2013 00:00,2350,cfs,,,09/25/2018 15:20
COLCAMCO,10/10/2013 00:00,2670,cfs,,,09/25/2018 15:20
COLCAMCO,10/11/2013 00:00,2470,cfs,,,09/25/2018 15:20
COLCAMCO,10/12/2013 00:00,2180,cfs,,,09/25/2018 15:20
COLCAMCO,10/13/2013 00:00,2110,cfs,,,09/25/2018 15:20
COLCAMCO,10/14/2013 00:00,2660,cfs,,,09/25/2018 15:20
COLCAMCO,10/15/2013 00:00,2470,cfs,,,09/25/2018 15:20
COLCAMCO,10/16/2013 00:00,2370,cfs,,,09/25/2018 15:20
COLCAMCO,10/17/2013 00:00,2290,cfs,,,09/25/2018 15:20
COLCAMCO,10/18/2013 00:00,2190,cfs,,,09/25/2018 15:20
COLCAMCO,10/19/2013 00:00,2170,cfs,,,09/25/2018 15:20
COLCAMCO,10/20/2013 00:00,2100,cfs,,,09/25/2018 15:20
COLCAMCO,10/21/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,10/22/2013 00:00,2080,cfs,,,09/25/2018 15:20
COLCAMCO,10/23/2013 00:00,2120,cfs,,,09/25/2018 15:20
COLCAMCO,10/24/2013 00:00,2100,cfs,,,09/25/2018 15:20
COLCAMCO,10/25/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,10/26/2013 00:00,2090,cfs,,,09/25/2018 15:20
COLCAMCO,10/27/2013 00:00,2180,cfs,,,09/25/2018 15:20
COLCAMCO,10/28/2013 00:00,2160,cfs,,,09/25/2018 15:20
COLCAMCO,10/29/2013 00:00,2260,cfs,,,09/25/2018 15:20
COLCAMCO,10/30/2013 00:00,2630,cfs,,,09/25/2018 15:20
COLCAMCO,10/31/2013 00:00,2430,cfs,,,09/25/2018 15:20
COLCAMCO,11/01/2013 00:00,2340,cfs,,,09/25/2018 15:20
COLCAMCO,11/02/2013 00:00,2300,cfs,,,09/25/2018 15:20
COLCAMCO,11/03/2013 00:00,2150,cfs,,,09/25/2018 15:20
COLCAMCO,11/04/2013 00:00,1970,cfs,,,09/25/2018 15:20
COLCAMCO,11/05/2013 00:00,2020,cfs,,,09/25/2018 15:20
COLCAMCO,11/06/2013 00:00,2010,cfs,,,09/25/2018 15:20
COLCAMCO,11/07/2013 00:00,1910,cfs,,,09/25/2018 15:20
COLCAMCO,11/08/2013 00:00,1930,cfs,,,09/25/2018 15:20
COLCAMCO,11/09/2013 00:00,1910,cfs,,,09/25/2018 15:20
COLCAMCO,11/10/2013 00:00,1910,cfs,,,09/25/2018 15:20
COLCAMCO,11/11/2013 00:00,1910,cfs,,,09/25/2018 15:20
COLCAMCO,11/12/2013 00:00,1790,cfs,,,09/25/2018 15:20
COLCAMCO,11/13/2013 00:00,1870,cfs,,,09/25/2018 15:20
COLCAMCO,11/14/2013 00:00,1860,cfs,,,09/25/2018 15:20
COLCAMCO,11/15/2013 00:00,1810,cfs,,,09/25/2018 15:20
COLCAMCO,11/16/2013 00:00,1800,cfs,,,09/25/2018 15:20
COLCAMCO,11/17/2013 00:00,1840,cfs,,,09/25/2018 15:20
COLCAMCO,11/18/2013 00:00,1820,cfs,,,09/25/2018 15:20
COLCAMCO,11/19/2013 00:00,1720,cfs,,,09/25/2018 15:20
COLCAMCO,11/20/2013 00:00,1730,cfs,,,09/25/2018 15:20
COLCAMCO,11/21/2013 00:00,1840,cfs,,,09/25/2018 15:20
COLCAMCO,11/22/2013 00:00,1890,cfs,,,09/25/2018 15:20
COLCAMCO,11/23/2013 00:00,1900,cfs,,,09/25/2018 15:20
COLCAMCO,11/24/2013 00:00,1840,cfs,,,09/25/2018 15:20
COLCAMCO,11/25/2013 00:00,1800,cfs,,,09/25/2018 15:20
COLCAMCO,11/26/2013 00:00,1760,cfs,,,09/25/2018 15:20
COLCAMCO,11/27/2013 00:00,1700,cfs,,,09/25/2018 15:20
COLCAMCO,11/28/2013 00:00,1700,cfs,,,09/25/2018 15:20
COLCAMCO,11/29/2013 00:00,1690,cfs,,,09/25/2018 15:20
COLCAMCO,11/30/2013 00:00,1710,cfs,,,09/25/2018 15:20
COLCAMCO,12/01/2013 00:00,1700,cfs,,,09/25/2018 15:20
COLCAMCO,12/02/2013 00:00,1660,cfs,,,09/25/2018 15:20
COLCAMCO,12/03/2013 00:00,1760,cfs,,,09/25/2018 15:20
COLCAMCO,12/04/2013 00:00,1870,cfs,,,09/25/2018 15:20
COLCAMCO,12/05/2013 00:00,1500,cfs,,,09/25/2018 15:20
COLCAMCO,12/06/2013 00:00,1220,cfs,,,09/25/2018 15:20
COLCAMCO,12/07/2013 00:00,1010,cfs,,,09/25/2018 15:20
COLCAMCO,12/08/2013 00:00,1180,cfs,,,09/25/2018 15:20
COLCAMCO,12/09/2013 00:00,1310,cfs,,,09/25/2018 15:20
COLCAMCO,12/10/2013 00:00,,cfs,,,
COLCAMCO,12/11/2013 00:00,,cfs,,,
COLCAMCO,12/12/2013 00:00,,cfs,,,
